,TXS,NODES,FRAC_SPIES,PRECISION,RECALL,KAD_K,ID_LEN
64,50.0,50.0,0.3333333333333333,0.4408602150537635,0.8387096774193549,20.0,8.0
65,100.0,50.0,0.3333333333333333,0.3184684684684685,1.0,20.0,8.0
66,1.0,50.0,0.25,1.0,1.0,20.0,8.0
67,5.0,50.0,0.25,0.5,1.0,20.0,8.0
68,10.0,50.0,0.25,0.9166666666666666,1.0,20.0,8.0
69,20.0,50.0,0.25,0.5972222222222222,1.0,20.0,8.0
70,50.0,50.0,0.25,0.4741379310344827,0.7931034482758621,20.0,8.0
71,100.0,50.0,0.25,0.3713392857142857,0.975,20.0,8.0
72,1.0,50.0,0.2,1.0,1.0,20.0,8.0
73,5.0,50.0,0.2,0.75,1.0,20.0,8.0
74,10.0,50.0,0.2,0.7857142857142857,0.8571428571428571,20.0,8.0
75,20.0,50.0,0.2,0.6041666666666666,0.875,20.0,8.0
76,50.0,50.0,0.2,0.5029761904761905,0.8214285714285714,20.0,8.0
77,100.0,50.0,0.2,0.37307692307692303,0.9743589743589743,20.0,8.0
78,1.0,50.0,0.16666666666666666,1.0,1.0,20.0,8.0
79,5.0,50.0,0.16666666666666666,1.0,1.0,20.0,8.0
80,10.0,50.0,0.16666666666666666,1.0,1.0,20.0,8.0
81,20.0,50.0,0.16666666666666666,0.375,0.5,20.0,8.0
82,50.0,50.0,0.16666666666666666,0.4938271604938272,0.8148148148148148,20.0,8.0
83,100.0,50.0,0.16666666666666666,0.31904761904761897,0.875,20.0,8.0
84,1.0,50.0,0.14285714285714285,1.0,1.0,20.0,8.0
85,5.0,50.0,0.14285714285714285,1.0,1.0,20.0,8.0
86,10.0,50.0,0.14285714285714285,0.7142857142857143,0.7142857142857143,20.0,8.0
87,20.0,50.0,0.14285714285714285,0.3333333333333333,0.4166666666666667,20.0,8.0
88,50.0,50.0,0.14285714285714285,0.45833333333333337,0.7857142857142857,20.0,8.0
89,100.0,50.0,0.14285714285714285,0.34646258503401367,0.9428571428571428,20.0,8.0
90,1.0,50.0,0.125,1.0,1.0,20.0,8.0
91,5.0,50.0,0.125,0.25,0.25,20.0,8.0
92,10.0,50.0,0.125,0.7142857142857143,0.7142857142857143,20.0,8.0
93,20.0,50.0,0.125,0.35714285714285715,0.42857142857142855,20.0,8.0
94,50.0,50.0,0.125,0.37356321839080464,0.7241379310344828,20.0,8.0
95,100.0,50.0,0.125,0.298452380952381,0.775,20.0,8.0
96,1.0,50.0,0.1111111111111111,1.0,1.0,20.0,8.0
97,5.0,50.0,0.1111111111111111,0.4,0.4,20.0,8.0
98,10.0,50.0,0.1111111111111111,0.8,0.8,20.0,8.0
99,20.0,50.0,0.1111111111111111,0.2708333333333333,0.5,20.0,8.0
100,50.0,50.0,0.1111111111111111,0.32142857142857145,0.5714285714285714,20.0,8.0
101,100.0,50.0,0.1111111111111111,0.38520408163265313,0.8571428571428571,20.0,8.0
102,1.0,50.0,0.1,1.0,1.0,20.0,8.0
103,5.0,50.0,0.1,0.4,0.4,20.0,8.0
104,10.0,50.0,0.1,0.8,0.8,20.0,8.0
105,20.0,50.0,0.1,0.2708333333333333,0.5,20.0,8.0
106,50.0,50.0,0.1,0.32142857142857145,0.5714285714285714,20.0,8.0
107,100.0,50.0,0.1,0.38520408163265313,0.8571428571428571,20.0,8.0
108,1.0,100.0,0.5,1.0,1.0,20.0,8.0
109,5.0,100.0,0.5,0.6,1.0,20.0,8.0
110,10.0,100.0,0.5,0.875,1.0,20.0,8.0
111,20.0,100.0,0.5,0.8666666666666667,1.0,20.0,8.0
112,50.0,100.0,0.5,0.6666666666666667,1.0,20.0,8.0
113,100.0,100.0,0.5,0.46551724137931016,1.0,20.0,8.0
114,1.0,100.0,0.3333333333333333,1.0,1.0,20.0,8.0
115,5.0,100.0,0.3333333333333333,1.0,1.0,20.0,8.0
116,10.0,100.0,0.3333333333333333,1.0,1.0,20.0,8.0
117,20.0,100.0,0.3333333333333333,0.9047619047619048,1.0,20.0,8.0
